20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,,,,,,,,
40,41,42,43,40,41,42,43,40,41,42,43,40,41,42,43,20,21,22,23,,20,21,22
60,61,62,63,60,61,62,63,60,61,62,63,60,61,62,63,40,41,42,43,,40,41,42
80,81,82,83,80,81,82,83,80,81,82,83,80,81,82,83,60,61,62,63,,60,61,62
100,101,102,103,100,101,102,103,100,101,102,103,100,101,102,103,80,81,82,83,,80,81,82
,,,,,,,,,,,,,,,,100,101,102,103,,100,101,102
,,,,,,,,,,,,,,,,,,,20,21,22,23,
,20,21,22,23,,,,,,,,,,,,,,,40,41,42,43,
,40,41,42,43,,,,,,,,,,,,,,,60,61,62,63,
,60,61,62,63,,,,,,,,,,,,,,,80,81,82,83,
,80,81,82,83,,,,,,,,,,,,,,,100,101,102,103,
,100,101,102,103,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,21,22,23,,,,,,,,
,,,,,,,,,,,,40,41,42,43,,,,,,,,
,,,,,,,,,,,,60,61,62,63,,,,,,,,
,,,,,,,,,,,,80,81,82,83,,,,,,,,
,,,,,,,,,,,,100,101,102,103,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20,21,22,23,,,,,,,,,,,,,,
,,,,,,40,41,42,43,,,,,,,,,,,,,,
,,,,,,60,61,62,63,,,,,,,,,,,,,,
,,,,,,80,81,82,83,,,,,,,,,,,,,,
,,,,,,100,101,102,103,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0
